season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-03-30,745599,605400,"656941,607208,624641,592663,664761,592206,681082,593160,679032",3,5.0575,0.255
2024,2024-03-30,745684,676440,"680757,608070,686823,681807,671289,665926,672356,595978,677587",4,5.128,0.2655
2024,2024-03-30,745684,676664,"676116,680869,668709,667670,664913,605204,668832,671732,687231",1,5.135,0.2625
2024,2024-03-30,746736,571578,"682928,657041,645302,683083,608336,660688,592696,671277,702358",2,5.026,0.251
2024,2024-03-30,746736,668881,"663886,668715,687952,600869,641584,682829,656413,571912,666181",7,5.012,0.249
2024,2024-03-30,745119,579328,"543807,665489,666182,596129,662139,676391,457759,661531,624415",4,5.039,0.2475
2024,2024-03-30,745119,641793,"650490,623912,668227,670623,642708,676609,678554,642350,650907",6,5.033,0.2295
2024,2024-03-30,746333,657746,"571657,666135,621439,621043,622534,467793,680777,650489,543877",5,5.0395,0.247
2024,2024-03-30,746333,607625,"672580,677951,686469,521692,669004,592669,641658,679845,664728",4,5.0505,0.2595
2024,2024-03-30,746087,683003,"642133,668804,663647,658668,680779,665833,669707,572191,669261",10,5.1645,0.271
2024,2024-03-30,746087,677960,"650333,605137,650559,665862,669394,660821,641313,541645,542194",5,5.1165,0.2525
2024,2024-03-30,745037,543294,"663538,673548,665804,666624,621020,664023,643265,543228,683737",2,4.9785,0.2465
2024,2024-03-30,745037,674003,"543760,669701,694497,608671,673962,694671,665120,668800,665750",6,4.9885,0.2345
2024,2024-03-30,745436,663855,"808982,624585,596103,656305,527038,624424,642731,608596,605113",6,4.966,0.235
2024,2024-03-30,745436,656302,"640492,688363,630105,592518,673490,595777,666703,701538,543309",6,5.07,0.2555
2024,2024-03-30,746410,573186,"650402,665742,592450,519203,657077,683011,669224,665828,663757",4,5.0135,0.2435
2024,2024-03-30,746410,686613,"514888,670541,663656,608324,673237,547989,665161,643289,605170",5,5.054,0.258
2024,2024-03-30,747221,596295,"595909,592178,666134,663898,641857,553869,678662,660707,686668",3,5.0015,0.2375
2024,2024-03-30,747221,674072,"606466,682998,666971,572233,672515,553993,592626,677950,672695",4,5.008,0.247
2024,2024-03-30,746168,458681,"680977,502671,669357,571448,572761,671056,672279,543063,687363",5,5.108,0.264
2024,2024-03-30,746168,808967,"605141,660271,518692,669257,571970,621035,681546,518792,666158",5,5.0995,0.268
2024,2024-03-30,745278,676710,"641933,807799,596115,666915,677800,678882,665839,622569,624512",7,5.039,0.2485
2024,2024-03-30,745278,669302,"641487,677594,593871,571745,663728,664034,670042,649966,668942",8,5.079,0.255
2024,2024-03-31,747062,672282,"543685,694384,545361,621493,592273,650859,681351,543305,687263",7,5.0985,0.266
2024,2024-03-31,747062,669330,"683002,668939,663624,623993,669720,602104,656775,656811,643393",7,5.0805,0.2525
2024,2024-03-31,745602,519242,"660670,645277,663586,621566,542303,594807,671739,606115,518595",7,5.085,0.266
2024,2024-03-31,745602,624133,"656941,607208,664761,592663,592206,593160,681082,669016,679032",7,5.0665,0.266
2024,2024-03-31,746739,663623,"682928,657041,645302,608841,608336,660688,592696,683083,702358",4,5.177,0.2735
2024,2024-03-31,746739,607259,"663697,666181,687952,600869,641584,682829,668715,605361,571912",3,4.987,0.2315
2024,2024-03-31,745115,592332,"543807,665489,457759,662139,661531,676391,676914,624415,643396",6,5.0905,0.238
2024,2024-03-31,745115,542888,"668853,678554,680700,623912,670623,642708,642350,666163,676609",1,5.031,0.2455
2024,2024-03-31,746090,663559,"656582,668804,663647,572191,669261,669707,665833,675961,641511",2,5.0215,0.2535
2024,2024-03-31,746090,669432,"650333,605137,669394,650559,665862,641313,681146,624503,542194",6,5.126,0.2525
2024,2024-03-31,745845,607067,"686217,661388,592885,642715,596142,656555,687401,668930,694192",2,5.0185,0.249
2024,2024-03-31,745845,656731,"607043,596019,624413,643446,516782,682626,683146,621438,553882",4,4.951,0.223
2024,2024-03-31,746332,641927,"666397,666135,622534,571657,670242,467793,650489,680777,668885",1,5.1065,0.2575
2024,2024-03-31,746332,663903,"679845,677951,686469,521692,641658,676369,624428,666023,680118",10,4.996,0.2295
2024,2024-03-31,746815,656427,"628451,679529,608348,682985,592192,690993,663837,595879,656716",7,5.057,0.249
2024,2024-03-31,746815,607200,"643217,660162,673357,657757,683734,669699,657557,607680,686676",7,5.01,0.2455
2024,2024-03-31,746413,657376,"650402,665742,592450,519203,519317,657077,542932,624431,665828",5,5.027,0.2365
2024,2024-03-31,746413,641585,"514888,670541,663656,608324,673237,547989,676801,665161,643289",5,5.053,0.254
2024,2024-03-31,745035,696136,"664023,673548,641355,663611,621020,683737,663538,643565,543228",6,4.9835,0.224
2024,2024-03-31,745035,592351,"543760,694671,673962,666969,669701,668800,665120,694497,665750",2,5.037,0.243
2024,2024-03-31,745683,471911,"680757,665926,608070,647304,686823,657656,666310,664314,672356",3,5.0345,0.2435
2024,2024-03-31,745683,621112,"665923,668709,680869,664913,605204,687231,669127,671732,647351",3,5.0315,0.249
2024,2024-03-31,747222,663372,"678662,666134,660707,641857,663898,669911,686668,595909,607732",4,5.048,0.237
2024,2024-03-31,747222,694297,"682998,606466,666971,572233,592626,553993,664983,571466,672695",6,5.049,0.25
2024,2024-03-31,745279,676477,"680776,646240,596115,671213,807799,641933,677800,678882,624512",8,5.0975,0.2575
2024,2024-03-31,745279,682243,"641487,677594,593871,571745,664034,664238,670042,649966,664874",6,5.0145,0.2455
2024,2024-03-31,745438,641726,"808982,605113,664774,596103,682641,624424,642731,672275,666149",1,5.104,0.2605
2024,2024-03-31,745438,650633,"642180,640492,666703,592518,673490,595777,669134,688363,701538",6,4.97,0.2455
2024,2024-03-31,746166,571927,"680977,502671,669357,571448,575929,676475,672279,687363,691026",3,5.0305,0.2525
2024,2024-03-31,746166,694813,"605141,660271,518692,606192,621035,571970,681546,666158,605131",6,5.1095,0.2485
2024,2024-04-01,746899,641712,"453568,663898,666134,592178,641857,553869,678662,660707,686668",2,4.952,0.23
2024,2024-04-01,746899,684007,"664023,673548,641355,663611,621020,683737,663538,643565,543228",9,5.0445,0.249
2024,2024-04-01,744875,594835,"642133,668804,663647,457705,669261,680779,665833,572191,675961",2,4.9385,0.239
2024,2024-04-01,744875,669022,"682928,657041,608841,660688,592696,702358,545121,656180,645302",6,5.0415,0.2585
2024,2024-04-01,747058,608379,"672580,677951,641658,521692,669004,592669,679845,676369,680118",5,4.991,0.237
2024,2024-04-01,747058,665152,"683002,668939,623993,663624,681297,669720,656775,676059,602104",5,5.089,0.254
2024,2024-04-01,745600,671096,"663697,663886,687952,600869,669289,682829,656413,669352,666181",4,5.0915,0.2585
2024,2024-04-01,745600,650911,"679032,607208,547180,592663,664761,592206,681082,593160,669016",8,5.093,0.2515
2024,2024-04-01,746085,681217,"543685,694384,545361,621493,592273,543305,681351,666176,687263",5,5.0215,0.239
2024,2024-04-01,746085,676974,"650333,605137,669394,665862,650559,660821,641313,624503,663743",4,5.0465,0.248
2024,2024-04-01,745109,641540,"543760,608369,694497,666969,669701,694671,665120,641680,608671",7,5.033,0.2385
2024,2024-04-01,745109,686752,"650490,664040,668227,642708,680700,678554,642350,668853,650907",3,5.137,0.269
2024,2024-04-01,745842,681857,"656716,681481,679529,682985,678009,690993,570482,595879,608348",3,5.028,0.252
2024,2024-04-01,745842,640455,"607043,596019,624413,682626,621466,516782,670097,643446,621563",8,4.9955,0.2415
2024,2024-04-01,746409,670102,"543807,665489,676914,662139,672386,676391,595281,643396,624415",7,4.965,0.236
2024,2024-04-01,746409,669854,"643289,666197,663656,608324,673237,547989,676801,665161,676694",7,5.067,0.2415
2024,2024-04-01,745675,656557,"680776,646240,596115,666915,677800,807799,665839,678882,624512",10,5.099,0.2555
2024,2024-04-01,745675,671212,"676116,663527,680869,664913,667670,647351,668832,671732,687231",4,5.0925,0.258
