game_pk,date,season,side,pitcher_id,k_actual,lineup_ids
746333,2024-03-30,2024,away,657746,5,"571657,666135,621439,621043,622534,467793,680777,650489,543877"
746333,2024-03-30,2024,home,607625,4,"672580,677951,686469,521692,669004,592669,641658,679845,664728"
746087,2024-03-30,2024,away,683003,10,"642133,668804,663647,658668,680779,665833,669707,572191,669261"
746087,2024-03-30,2024,home,677960,5,"650333,605137,650559,665862,669394,660821,641313,541645,542194"
745037,2024-03-30,2024,away,543294,2,"663538,673548,665804,666624,621020,664023,643265,543228,683737"
745037,2024-03-30,2024,home,674003,6,"543760,669701,694497,608671,673962,694671,665120,668800,665750"
745436,2024-03-30,2024,away,663855,6,"808982,624585,596103,656305,527038,624424,642731,608596,605113"
745436,2024-03-30,2024,home,656302,6,"640492,688363,630105,592518,673490,595777,666703,701538,543309"
746410,2024-03-30,2024,away,573186,4,"650402,665742,592450,519203,657077,683011,669224,665828,663757"
746410,2024-03-30,2024,home,686613,5,"514888,670541,663656,608324,673237,547989,665161,643289,605170"
747221,2024-03-30,2024,away,596295,3,"595909,592178,666134,663898,641857,553869,678662,660707,686668"
747221,2024-03-30,2024,home,674072,4,"606466,682998,666971,572233,672515,553993,592626,677950,672695"
746168,2024-03-30,2024,away,458681,5,"680977,502671,669357,571448,572761,671056,672279,543063,687363"
746168,2024-03-30,2024,home,808967,5,"605141,660271,518692,669257,571970,621035,681546,518792,666158"
745278,2024-03-30,2024,away,676710,7,"641933,807799,596115,666915,677800,678882,665839,622569,624512"
745278,2024-03-30,2024,home,669302,8,"641487,677594,593871,571745,663728,664034,670042,649966,668942"
747062,2024-03-31,2024,away,672282,7,"543685,694384,545361,621493,592273,650859,681351,543305,687263"
747062,2024-03-31,2024,home,669330,7,"683002,668939,663624,623993,669720,602104,656775,656811,643393"
745602,2024-03-31,2024,away,519242,7,"660670,645277,663586,621566,542303,594807,671739,606115,518595"
745602,2024-03-31,2024,home,624133,7,"656941,607208,664761,592663,592206,593160,681082,669016,679032"
746739,2024-03-31,2024,away,663623,4,"682928,657041,645302,608841,608336,660688,592696,683083,702358"
746739,2024-03-31,2024,home,607259,3,"663697,666181,687952,600869,641584,682829,668715,605361,571912"
745115,2024-03-31,2024,away,592332,6,"543807,665489,457759,662139,661531,676391,676914,624415,643396"
745115,2024-03-31,2024,home,542888,1,"668853,678554,680700,623912,670623,642708,642350,666163,676609"
746090,2024-03-31,2024,away,663559,2,"656582,668804,663647,572191,669261,669707,665833,675961,641511"
746090,2024-03-31,2024,home,669432,6,"650333,605137,669394,650559,665862,641313,681146,624503,542194"
745845,2024-03-31,2024,away,607067,2,"686217,661388,592885,642715,596142,656555,687401,668930,694192"
745845,2024-03-31,2024,home,656731,4,"607043,596019,624413,643446,516782,682626,683146,621438,553882"
746332,2024-03-31,2024,away,641927,1,"666397,666135,622534,571657,670242,467793,650489,680777,668885"
746332,2024-03-31,2024,home,663903,10,"679845,677951,686469,521692,641658,676369,624428,666023,680118"
746815,2024-03-31,2024,away,656427,7,"628451,679529,608348,682985,592192,690993,663837,595879,656716"
746815,2024-03-31,2024,home,607200,7,"643217,660162,673357,657757,683734,669699,657557,607680,686676"
746413,2024-03-31,2024,away,657376,5,"650402,665742,592450,519203,519317,657077,542932,624431,665828"
746413,2024-03-31,2024,home,641585,5,"514888,670541,663656,608324,673237,547989,676801,665161,643289"
745035,2024-03-31,2024,away,696136,6,"664023,673548,641355,663611,621020,683737,663538,643565,543228"
745035,2024-03-31,2024,home,592351,2,"543760,694671,673962,666969,669701,668800,665120,694497,665750"
745683,2024-03-31,2024,away,471911,3,"680757,665926,608070,647304,686823,657656,666310,664314,672356"
745683,2024-03-31,2024,home,621112,3,"665923,668709,680869,664913,605204,687231,669127,671732,647351"
747222,2024-03-31,2024,away,663372,4,"678662,666134,660707,641857,663898,669911,686668,595909,607732"
747222,2024-03-31,2024,home,694297,6,"682998,606466,666971,572233,592626,553993,664983,571466,672695"
745279,2024-03-31,2024,away,676477,8,"680776,646240,596115,671213,807799,641933,677800,678882,624512"
745279,2024-03-31,2024,home,682243,6,"641487,677594,593871,571745,664034,664238,670042,649966,664874"
745438,2024-03-31,2024,away,641726,1,"808982,605113,664774,596103,682641,624424,642731,672275,666149"
745438,2024-03-31,2024,home,650633,6,"642180,640492,666703,592518,673490,595777,669134,688363,701538"
