game_pk,date,season,side,pitcher_id,k_actual,lineup_ids,exp_ks,p_over,p10,p90
746167,2024-03-29,2024,home,676272,11,"605141,660271,518692,669257,571970,606192,571771,621035,500743",4.8067,0.0,2.0,7.0
745850,2024-03-30,2024,away,669084,1,"686217,661388,592885,642715,641343,656555,687401,668930,694192",4.83315,0.0,2.0,7.0
745850,2024-03-30,2024,home,622663,6,"607043,596019,624413,621466,516782,643446,682626,683146,664056",4.8498,0.0,2.0,7.0
746818,2024-03-30,2024,away,628317,2,"678009,679529,682985,681481,592192,690993,608348,595879,656716",4.8169,0.0,2.0,7.0
746818,2024-03-30,2024,home,647336,0,"643217,660162,673357,650391,657757,666150,669699,670032,686676",4.84035,0.0,2.0,7.0
747063,2024-03-30,2024,away,656288,2,"650859,666160,666176,621493,592273,694384,593934,681351,687263",4.8078,0.0,2.0,7.0
747063,2024-03-30,2024,home,680570,9,"643393,543510,681297,663624,656811,669720,656775,676059,602104",4.7927,0.0,2.0,7.0
745599,2024-03-30,2024,away,608331,1,"660670,645277,663586,621566,542303,671739,606115,518595,672284",4.84855,0.0,2.0,7.0
745599,2024-03-30,2024,home,605400,3,"656941,607208,624641,592663,664761,592206,681082,593160,679032",4.8049,0.0,2.0,7.0
745684,2024-03-30,2024,away,676440,4,"680757,608070,686823,681807,671289,665926,672356,595978,677587",4.8392,0.0,2.0,7.0
745684,2024-03-30,2024,home,676664,1,"676116,680869,668709,667670,664913,605204,668832,671732,687231",4.83995,0.0,2.0,7.0
746736,2024-03-30,2024,away,571578,2,"682928,657041,645302,683083,608336,660688,592696,671277,702358",4.84855,0.0,3.0,7.0
746736,2024-03-30,2024,home,668881,7,"663886,668715,687952,600869,641584,682829,656413,571912,666181",4.79235,0.0,2.0,7.0
745119,2024-03-30,2024,away,579328,4,"543807,665489,666182,596129,662139,676391,457759,661531,624415",4.85135,0.0,2.0,7.0
745119,2024-03-30,2024,home,641793,6,"650490,623912,668227,670623,642708,676609,678554,642350,650907",4.8352,0.0,2.0,7.0
746333,2024-03-30,2024,away,657746,5,"571657,666135,621439,621043,622534,467793,680777,650489,543877",4.85725,0.0,2.0,7.0
746333,2024-03-30,2024,home,607625,4,"672580,677951,686469,521692,669004,592669,641658,679845,664728",4.8388,0.0,2.0,7.0
746087,2024-03-30,2024,away,683003,10,"642133,668804,663647,658668,680779,665833,669707,572191,669261",4.76755,0.0,2.0,7.0
746087,2024-03-30,2024,home,677960,5,"650333,605137,650559,665862,669394,660821,641313,541645,542194",4.78005,0.0,2.0,7.0
745037,2024-03-30,2024,away,543294,2,"663538,673548,665804,666624,621020,664023,643265,543228,683737",4.84545,0.0,2.0,7.0
745037,2024-03-30,2024,home,674003,6,"543760,669701,694497,608671,673962,694671,665120,668800,665750",4.82325,0.0,2.0,7.0
745436,2024-03-30,2024,away,663855,6,"808982,624585,596103,656305,527038,624424,642731,608596,605113",4.82235,0.0,2.0,7.0
745436,2024-03-30,2024,home,656302,6,"640492,688363,630105,592518,673490,595777,666703,701538,543309",4.85995,0.0,2.0,7.0
746410,2024-03-30,2024,away,573186,4,"650402,665742,592450,519203,657077,683011,669224,665828,663757",4.8707,0.0,3.0,7.0
746410,2024-03-30,2024,home,686613,5,"514888,670541,663656,608324,673237,547989,665161,643289,605170",4.8372,0.0,3.0,7.0
747221,2024-03-30,2024,away,596295,3,"595909,592178,666134,663898,641857,553869,678662,660707,686668",4.86745,0.0,2.0,7.0
747221,2024-03-30,2024,home,674072,4,"606466,682998,666971,572233,672515,553993,592626,677950,672695",4.7763,0.0,2.0,7.0
746168,2024-03-30,2024,away,458681,5,"680977,502671,669357,571448,572761,671056,672279,543063,687363",4.7866,0.0,2.0,7.0
